#           k/h    P           
   0.720539E-01   0.758595E+04
   0.735095E-01   0.746551E+04
   0.749945E-01   0.734040E+04
   0.765095E-01   0.721011E+04
   0.780551E-01   0.707422E+04
   0.796319E-01   0.693274E+04
   0.812406E-01   0.678605E+04
   0.828817E-01   0.663459E+04
   0.845561E-01   0.647894E+04
   0.862642E-01   0.631975E+04
   0.880068E-01   0.615776E+04
   0.897847E-01   0.599403E+04
   0.915985E-01   0.582963E+04
   0.934489E-01   0.566575E+04
   0.953367E-01   0.550367E+04
   0.972626E-01   0.534459E+04
   0.992274E-01   0.518973E+04
   0.101232E+00   0.504022E+04
   0.103277E+00   0.489707E+04
   0.105363E+00   0.476119E+04
   0.107492E+00   0.463339E+04
   0.109663E+00   0.451416E+04
   0.111879E+00   0.440362E+04
   0.114139E+00   0.430176E+04
   0.116445E+00   0.420788E+04
   0.118797E+00   0.412103E+04
   0.121197E+00   0.403998E+04
   0.123645E+00   0.396295E+04
   0.126143E+00   0.388822E+04
   0.128691E+00   0.381394E+04
   0.131291E+00   0.373834E+04
   0.133943E+00   0.365996E+04
   0.136649E+00   0.357759E+04
   0.139409E+00   0.349049E+04
   0.142226E+00   0.339832E+04
   0.145099E+00   0.330126E+04
   0.148030E+00   0.319997E+04
   0.151020E+00   0.309555E+04
   0.154071E+00   0.298944E+04
   0.157184E+00   0.288332E+04
   0.160359E+00   0.277892E+04
   0.163598E+00   0.267801E+04
   0.166903E+00   0.258220E+04
   0.170275E+00   0.249295E+04
   0.173715E+00   0.241125E+04
   0.177224E+00   0.233761E+04
   0.180804E+00   0.227166E+04
   0.184457E+00   0.221236E+04
   0.188183E+00   0.215791E+04
   0.191985E+00   0.210625E+04
   0.195863E+00   0.205534E+04
   0.199820E+00   0.200338E+04
   0.203856E+00   0.194901E+04
   0.207974E+00   0.189131E+04
   0.212176E+00   0.183004E+04
   0.216462E+00   0.176574E+04
   0.220835E+00   0.169976E+04
   0.225296E+00   0.163397E+04
   0.229847E+00   0.157028E+04
   0.234490E+00   0.151024E+04
   0.239227E+00   0.145490E+04
   0.244060E+00   0.140471E+04
   0.248990E+00   0.135958E+04
   0.254020E+00   0.131867E+04
   0.259152E+00   0.128055E+04
   0.264387E+00   0.124351E+04
   0.269728E+00   0.120600E+04
   0.275177E+00   0.116703E+04
   0.280736E+00   0.112625E+04
   0.286407E+00   0.108415E+04
   0.292193E+00   0.104186E+04
   0.298096E+00   0.100074E+04
   0.304118E+00   0.961934E+03
   0.310261E+00   0.926056E+03
   0.316529E+00   0.893236E+03
   0.322923E+00   0.863083E+03
   0.329447E+00   0.834688E+03
   0.336102E+00   0.806912E+03
   0.342892E+00   0.778882E+03
   0.349819E+00   0.750319E+03
   0.356885E+00   0.721506E+03
   0.364095E+00   0.693090E+03
   0.371450E+00   0.665812E+03
   0.378954E+00   0.640207E+03
   0.386609E+00   0.616384E+03
   0.394419E+00   0.594047E+03
   0.402387E+00   0.572649E+03
   0.410516E+00   0.551642E+03
   0.418809E+00   0.530720E+03
   0.427269E+00   0.509975E+03
   0.435901E+00   0.489761E+03
   0.444706E+00   0.470423E+03
   0.453690E+00   0.452127E+03
   0.462855E+00   0.434815E+03
   0.472206E+00   0.418251E+03
   0.481745E+00   0.402114E+03
   0.491477E+00   0.386299E+03
   0.501405E+00   0.370908E+03
   0.511534E+00   0.356065E+03
   0.521868E+00   0.341873E+03
   0.532411E+00   0.328339E+03
   0.543166E+00   0.315339E+03
   0.554139E+00   0.302754E+03
   0.565333E+00   0.290544E+03
   0.576753E+00   0.278759E+03
   0.588404E+00   0.267448E+03
   0.600291E+00   0.256608E+03
   0.612418E+00   0.246189E+03
   0.624789E+00   0.236145E+03
   0.637411E+00   0.226457E+03
   0.650288E+00   0.217131E+03
   0.663424E+00   0.208172E+03
   0.676826E+00   0.199570E+03
   0.690499E+00   0.191306E+03
   0.704448E+00   0.183362E+03
   0.718679E+00   0.175724E+03
   0.733197E+00   0.168382E+03
   0.748009E+00   0.161325E+03
   0.763119E+00   0.154545E+03
   0.778536E+00   0.148031E+03
   0.794263E+00   0.141774E+03
   0.810308E+00   0.135765E+03
   0.826677E+00   0.129996E+03
   0.843378E+00   0.124457E+03
   0.860415E+00   0.119141E+03
   0.877797E+00   0.114039E+03
   0.895529E+00   0.109143E+03
   0.913620E+00   0.104447E+03
   0.932076E+00   0.999425E+02
   0.950906E+00   0.956223E+02
   0.970115E+00   0.914794E+02
   0.989713E+00   0.875073E+02
   0.100971E+01   0.836993E+02
   0.103010E+01   0.800490E+02
   0.105091E+01   0.765505E+02
   0.107214E+01   0.731978E+02
   0.109380E+01   0.699852E+02
   0.111590E+01   0.669073E+02
   0.113844E+01   0.639587E+02
   0.116144E+01   0.611345E+02
   0.118490E+01   0.584296E+02
   0.120884E+01   0.558393E+02
   0.123326E+01   0.533590E+02
   0.125817E+01   0.509843E+02
