#           k/h    P           
   0.880068E-01   0.626758E+04
   0.897847E-01   0.603744E+04
   0.915985E-01   0.581262E+04
   0.934489E-01   0.559511E+04
   0.953367E-01   0.538698E+04
   0.972626E-01   0.519003E+04
   0.992274E-01   0.500586E+04
   0.101232E+00   0.483592E+04
   0.103277E+00   0.468136E+04
   0.105363E+00   0.454243E+04
   0.107492E+00   0.441903E+04
   0.109663E+00   0.431049E+04
   0.111879E+00   0.421498E+04
   0.114139E+00   0.413055E+04
   0.116445E+00   0.405451E+04
   0.118797E+00   0.398385E+04
   0.121197E+00   0.391554E+04
   0.123645E+00   0.384643E+04
   0.126143E+00   0.377369E+04
   0.128691E+00   0.369487E+04
   0.131291E+00   0.360803E+04
   0.133943E+00   0.351215E+04
   0.136649E+00   0.340683E+04
   0.139409E+00   0.329276E+04
   0.142226E+00   0.317119E+04
   0.145099E+00   0.304420E+04
   0.148030E+00   0.291425E+04
   0.151020E+00   0.278440E+04
   0.154071E+00   0.265787E+04
   0.157184E+00   0.253813E+04
   0.160359E+00   0.242813E+04
   0.163598E+00   0.233023E+04
   0.166903E+00   0.224528E+04
   0.170275E+00   0.217301E+04
   0.173715E+00   0.211175E+04
   0.177224E+00   0.205917E+04
   0.180804E+00   0.201252E+04
   0.184457E+00   0.196888E+04
   0.188183E+00   0.192519E+04
   0.191985E+00   0.187846E+04
   0.195863E+00   0.182615E+04
   0.199820E+00   0.176701E+04
   0.203856E+00   0.170127E+04
   0.207974E+00   0.163066E+04
   0.212176E+00   0.155782E+04
   0.216462E+00   0.148565E+04
   0.220835E+00   0.141698E+04
   0.225296E+00   0.135419E+04
   0.229847E+00   0.129888E+04
   0.234490E+00   0.125144E+04
   0.239227E+00   0.121108E+04
   0.244060E+00   0.117603E+04
   0.248990E+00   0.114389E+04
   0.254020E+00   0.111201E+04
   0.259152E+00   0.107802E+04
   0.264387E+00   0.104061E+04
   0.269728E+00   0.999966E+03
   0.275177E+00   0.957357E+03
   0.280736E+00   0.914555E+03
   0.286407E+00   0.873422E+03
   0.292193E+00   0.835668E+03
   0.298096E+00   0.802330E+03
   0.304118E+00   0.773263E+03
   0.310261E+00   0.747269E+03
   0.316529E+00   0.722747E+03
   0.322923E+00   0.698239E+03
   0.329447E+00   0.672720E+03
   0.336102E+00   0.645895E+03
   0.342892E+00   0.618396E+03
   0.349819E+00   0.591446E+03
   0.356885E+00   0.566151E+03
   0.364095E+00   0.543054E+03
   0.371450E+00   0.522127E+03
   0.378954E+00   0.502833E+03
   0.386609E+00   0.484272E+03
   0.394419E+00   0.465671E+03
   0.402387E+00   0.446807E+03
   0.410516E+00   0.427990E+03
   0.418809E+00   0.409742E+03
   0.427269E+00   0.392546E+03
   0.435901E+00   0.376616E+03
   0.444706E+00   0.361712E+03
   0.453690E+00   0.347411E+03
   0.462855E+00   0.333406E+03
   0.472206E+00   0.319547E+03
   0.481745E+00   0.306015E+03
   0.491477E+00   0.293085E+03
   0.501405E+00   0.280857E+03
   0.511534E+00   0.269299E+03
   0.521868E+00   0.258225E+03
   0.532411E+00   0.247462E+03
   0.543166E+00   0.237004E+03
   0.554139E+00   0.226910E+03
   0.565333E+00   0.217280E+03
   0.576753E+00   0.208112E+03
   0.588404E+00   0.199334E+03
   0.600291E+00   0.190888E+03
   0.612418E+00   0.182715E+03
   0.624789E+00   0.174859E+03
   0.637411E+00   0.167347E+03
   0.650288E+00   0.160163E+03
   0.663424E+00   0.153280E+03
   0.676826E+00   0.146675E+03
   0.690499E+00   0.140336E+03
   0.704448E+00   0.134254E+03
   0.718679E+00   0.128420E+03
   0.733197E+00   0.122824E+03
   0.748009E+00   0.117458E+03
   0.763119E+00   0.112314E+03
   0.778536E+00   0.107384E+03
   0.794263E+00   0.102658E+03
   0.810308E+00   0.981310E+02
   0.826677E+00   0.937939E+02
   0.843378E+00   0.896397E+02
   0.860415E+00   0.856616E+02
   0.877797E+00   0.818526E+02
   0.895529E+00   0.782063E+02
   0.913620E+00   0.747160E+02
   0.932076E+00   0.713755E+02
   0.950906E+00   0.681787E+02
   0.970115E+00   0.651196E+02
   0.989713E+00   0.621926E+02
   0.100971E+01   0.593924E+02
   0.103010E+01   0.567135E+02
   0.105091E+01   0.541511E+02
   0.107214E+01   0.517003E+02
   0.109380E+01   0.493565E+02
   0.111590E+01   0.471151E+02
   0.113844E+01   0.449720E+02
   0.116144E+01   0.429230E+02
   0.118490E+01   0.409641E+02
   0.120884E+01   0.390916E+02
   0.123326E+01   0.373018E+02
   0.125817E+01   0.355910E+02
   0.128359E+01   0.339561E+02
   0.130952E+01   0.323936E+02
   0.133597E+01   0.309005E+02
   0.136296E+01   0.294739E+02
   0.139049E+01   0.281108E+02
   0.141858E+01   0.268085E+02
   0.144724E+01   0.255644E+02
   0.147648E+01   0.243760E+02
   0.150630E+01   0.232409E+02
   0.153673E+01   0.221567E+02
   0.156778E+01   0.211213E+02
   0.159945E+01   0.201326E+02
   0.163176E+01   0.191886E+02
   0.166472E+01   0.182874E+02
   0.169835E+01   0.174274E+02
   0.173266E+01   0.166067E+02
   0.176766E+01   0.158238E+02
   0.180337E+01   0.150770E+02
   0.183980E+01   0.143648E+02
   0.187697E+01   0.136857E+02
   0.191489E+01   0.130382E+02
   0.195357E+01   0.124210E+02
   0.199304E+01   0.118328E+02
   0.203330E+01   0.112723E+02
   0.207437E+01   0.107382E+02
