#    L    TT             EE             BB             TE             PP             TP             EP          
    98   0.273544E+04   0.875039E+00   0.000000E+00  -0.281197E+02   0.445613E-07   0.112536E-02  -0.831332E-06
    99   0.276758E+04   0.885546E+00   0.000000E+00  -0.287166E+02   0.443089E-07   0.111138E-02  -0.834412E-06
   100   0.279989E+04   0.895583E+00   0.000000E+00  -0.293025E+02   0.440573E-07   0.109762E-02  -0.836413E-06
   101   0.283237E+04   0.905136E+00   0.000000E+00  -0.298768E+02   0.438067E-07   0.108408E-02  -0.837368E-06
   102   0.286500E+04   0.914182E+00   0.000000E+00  -0.304387E+02   0.435569E-07   0.107074E-02  -0.837310E-06
   103   0.289776E+04   0.922720E+00   0.000000E+00  -0.309872E+02   0.433082E-07   0.105761E-02  -0.836272E-06
   104   0.293064E+04   0.930721E+00   0.000000E+00  -0.315216E+02   0.430605E-07   0.104469E-02  -0.834288E-06
   105   0.296363E+04   0.938177E+00   0.000000E+00  -0.320410E+02   0.428138E-07   0.103196E-02  -0.831390E-06
   106   0.299672E+04   0.945071E+00   0.000000E+00  -0.325445E+02   0.425683E-07   0.101943E-02  -0.827612E-06
   107   0.302987E+04   0.951397E+00   0.000000E+00  -0.330312E+02   0.423239E-07   0.100710E-02  -0.822986E-06
   108   0.306308E+04   0.957131E+00   0.000000E+00  -0.335004E+02   0.420807E-07   0.994954E-03  -0.817546E-06
   109   0.309635E+04   0.962267E+00   0.000000E+00  -0.339509E+02   0.418387E-07   0.982996E-03  -0.811324E-06
   110   0.312964E+04   0.966780E+00   0.000000E+00  -0.343822E+02   0.415980E-07   0.971222E-03  -0.804354E-06
   111   0.316294E+04   0.970666E+00   0.000000E+00  -0.347933E+02   0.413586E-07   0.959629E-03  -0.796669E-06
   112   0.319626E+04   0.973933E+00   0.000000E+00  -0.351835E+02   0.411205E-07   0.948214E-03  -0.788299E-06
   113   0.322956E+04   0.976573E+00   0.000000E+00  -0.355524E+02   0.408838E-07   0.936973E-03  -0.779276E-06
   114   0.326285E+04   0.978590E+00   0.000000E+00  -0.358992E+02   0.406484E-07   0.925905E-03  -0.769632E-06
