#    L    TT             EE             BB             TE             PP             TP             EP          
    89   0.211685E+04   0.418607E+00   0.000000E+00  -0.105946E+02   0.128820E-06   0.171216E-03  -0.459419E-06
    90   0.214205E+04   0.430770E+00   0.000000E+00  -0.110776E+02   0.128023E-06   0.170744E-03  -0.407197E-06
    91   0.216742E+04   0.443031E+00   0.000000E+00  -0.115672E+02   0.127230E-06   0.170229E-03  -0.363477E-06
    92   0.219296E+04   0.455381E+00   0.000000E+00  -0.120633E+02   0.126440E-06   0.169672E-03  -0.328630E-06
    93   0.221868E+04   0.467810E+00   0.000000E+00  -0.125659E+02   0.125655E-06   0.169075E-03  -0.302056E-06
    94   0.224458E+04   0.480312E+00   0.000000E+00  -0.130748E+02   0.124873E-06   0.168440E-03  -0.283154E-06
    95   0.227068E+04   0.492878E+00   0.000000E+00  -0.135897E+02   0.124095E-06   0.167771E-03  -0.271327E-06
    96   0.229698E+04   0.505500E+00   0.000000E+00  -0.141106E+02   0.123321E-06   0.167069E-03  -0.265974E-06
    97   0.232347E+04   0.518168E+00   0.000000E+00  -0.146372E+02   0.122551E-06   0.166337E-03  -0.266499E-06
    98   0.235017E+04   0.530872E+00   0.000000E+00  -0.151693E+02   0.121785E-06   0.165576E-03  -0.272302E-06
    99   0.237706E+04   0.543605E+00   0.000000E+00  -0.157067E+02   0.121023E-06   0.164790E-03  -0.282789E-06
   100   0.240416E+04   0.556361E+00   0.000000E+00  -0.162490E+02   0.120265E-06   0.163981E-03  -0.297360E-06
   101   0.243146E+04   0.569131E+00   0.000000E+00  -0.167960E+02   0.119512E-06   0.163151E-03  -0.315421E-06
   102   0.245897E+04   0.581898E+00   0.000000E+00  -0.173476E+02   0.118762E-06   0.162302E-03  -0.336376E-06
   103   0.248668E+04   0.594668E+00   0.000000E+00  -0.179033E+02   0.118018E-06   0.161437E-03  -0.359629E-06
   104   0.251458E+04   0.607418E+00   0.000000E+00  -0.184630E+02   0.117277E-06   0.160559E-03  -0.384585E-06
   105   0.254267E+04   0.620146E+00   0.000000E+00  -0.190263E+02   0.116541E-06   0.159669E-03  -0.410649E-06
   106   0.257096E+04   0.632844E+00   0.000000E+00  -0.195928E+02   0.115810E-06   0.158769E-03  -0.437227E-06
   107   0.259943E+04   0.645509E+00   0.000000E+00  -0.201623E+02   0.115083E-06   0.157863E-03  -0.463725E-06
   108   0.262808E+04   0.658125E+00   0.000000E+00  -0.207344E+02   0.114361E-06   0.156952E-03  -0.489550E-06
   109   0.265691E+04   0.670692E+00   0.000000E+00  -0.213088E+02   0.113643E-06   0.156040E-03  -0.514107E-06
   110   0.268591E+04   0.683192E+00   0.000000E+00  -0.218852E+02   0.112931E-06   0.155127E-03  -0.536804E-06
   111   0.271508E+04   0.695623E+00   0.000000E+00  -0.224633E+02   0.112223E-06   0.154217E-03  -0.557168E-06
   112   0.274442E+04   0.707980E+00   0.000000E+00  -0.230426E+02   0.111520E-06   0.153310E-03  -0.575212E-06
   113   0.277393E+04   0.720242E+00   0.000000E+00  -0.236229E+02   0.110821E-06   0.152405E-03  -0.591069E-06
   114   0.280359E+04   0.732394E+00   0.000000E+00  -0.242037E+02   0.110128E-06   0.151504E-03  -0.604870E-06
   115   0.283341E+04   0.744438E+00   0.000000E+00  -0.247846E+02   0.109440E-06   0.150606E-03  -0.616750E-06
   116   0.286338E+04   0.756359E+00   0.000000E+00  -0.253652E+02   0.108756E-06   0.149711E-03  -0.626840E-06
   117   0.289351E+04   0.768137E+00   0.000000E+00  -0.259452E+02   0.108077E-06   0.148820E-03  -0.635273E-06
   118   0.292376E+04   0.779772E+00   0.000000E+00  -0.265240E+02   0.107403E-06   0.147933E-03  -0.642181E-06
   119   0.295415E+04   0.791251E+00   0.000000E+00  -0.271015E+02   0.106733E-06   0.147050E-03  -0.647697E-06
   120   0.298468E+04   0.802567E+00   0.000000E+00  -0.276771E+02   0.106069E-06   0.146171E-03  -0.651952E-06
   121   0.301533E+04   0.813706E+00   0.000000E+00  -0.282505E+02   0.105409E-06   0.145297E-03  -0.655080E-06
   122   0.304609E+04   0.824662E+00   0.000000E+00  -0.288213E+02   0.104754E-06   0.144427E-03  -0.657212E-06
   123   0.307696E+04   0.835429E+00   0.000000E+00  -0.293892E+02   0.104104E-06   0.143562E-03  -0.658480E-06
   124   0.310794E+04   0.845992E+00   0.000000E+00  -0.299537E+02   0.103459E-06   0.142702E-03  -0.659017E-06
   125   0.313902E+04   0.856353E+00   0.000000E+00  -0.305145E+02   0.102818E-06   0.141848E-03  -0.658953E-06
   126   0.317019E+04   0.866497E+00   0.000000E+00  -0.310712E+02   0.102182E-06   0.140998E-03  -0.658422E-06
   127   0.320144E+04   0.876426E+00   0.000000E+00  -0.316235E+02   0.101552E-06   0.140154E-03  -0.657555E-06
   128   0.323277E+04   0.886127E+00   0.000000E+00  -0.321710E+02   0.100925E-06   0.139316E-03  -0.656483E-06
   129   0.326417E+04   0.895599E+00   0.000000E+00  -0.327134E+02   0.100304E-06   0.138484E-03  -0.655339E-06
   130   0.329565E+04   0.904829E+00   0.000000E+00  -0.332503E+02   0.996873E-07   0.137657E-03  -0.654254E-06
   131   0.332717E+04   0.913817E+00   0.000000E+00  -0.337813E+02   0.990754E-07   0.136837E-03  -0.653335E-06
   132   0.335876E+04   0.922557E+00   0.000000E+00  -0.343061E+02   0.984684E-07   0.136024E-03  -0.652595E-06
   133   0.339039E+04   0.931028E+00   0.000000E+00  -0.348242E+02   0.978660E-07   0.135216E-03  -0.652020E-06
   134   0.342207E+04   0.939239E+00   0.000000E+00  -0.353352E+02   0.972683E-07   0.134415E-03  -0.651599E-06
   135   0.345380E+04   0.947161E+00   0.000000E+00  -0.358388E+02   0.966753E-07   0.133620E-03  -0.651318E-06
   136   0.348556E+04   0.954794E+00   0.000000E+00  -0.363345E+02   0.960870E-07   0.132832E-03  -0.651165E-06
   137   0.351737E+04   0.962125E+00   0.000000E+00  -0.368219E+02   0.955032E-07   0.132050E-03  -0.651127E-06
   138   0.354920E+04   0.969154E+00   0.000000E+00  -0.373007E+02   0.949239E-07   0.131274E-03  -0.651192E-06
   139   0.358106E+04   0.975868E+00   0.000000E+00  -0.377705E+02   0.943493E-07   0.130505E-03  -0.651347E-06
   140   0.361295E+04   0.982259E+00   0.000000E+00  -0.382309E+02   0.937791E-07   0.129742E-03  -0.651581E-06
   141   0.364486E+04   0.988337E+00   0.000000E+00  -0.386818E+02   0.932134E-07   0.128985E-03  -0.651879E-06
   142   0.367678E+04   0.994080E+00   0.000000E+00  -0.391226E+02   0.926521E-07   0.128235E-03  -0.652230E-06
   143   0.370872E+04   0.999489E+00   0.000000E+00  -0.395532E+02   0.920952E-07   0.127492E-03  -0.652621E-06
   144   0.374066E+04   0.100456E+01   0.000000E+00  -0.399730E+02   0.915427E-07   0.126755E-03  -0.653040E-06
   145   0.377260E+04   0.100929E+01   0.000000E+00  -0.403819E+02   0.909946E-07   0.126024E-03  -0.653474E-06
   146   0.380453E+04   0.101368E+01   0.000000E+00  -0.407795E+02   0.904508E-07   0.125300E-03  -0.653911E-06
   147   0.383643E+04   0.101773E+01   0.000000E+00  -0.411653E+02   0.899113E-07   0.124582E-03  -0.654338E-06
   148   0.386830E+04   0.102144E+01   0.000000E+00  -0.415393E+02   0.893761E-07   0.123871E-03  -0.654743E-06
   149   0.390013E+04   0.102480E+01   0.000000E+00  -0.419009E+02   0.888450E-07   0.123166E-03  -0.655113E-06
   150   0.393190E+04   0.102782E+01   0.000000E+00  -0.422498E+02   0.883182E-07   0.122468E-03  -0.655435E-06
   151   0.396361E+04   0.103050E+01   0.000000E+00  -0.425858E+02   0.877956E-07   0.121777E-03  -0.655700E-06
   152   0.399525E+04   0.103283E+01   0.000000E+00  -0.429086E+02   0.872771E-07   0.121092E-03  -0.655903E-06
   153   0.402682E+04   0.103480E+01   0.000000E+00  -0.432176E+02   0.867628E-07   0.120413E-03  -0.656043E-06
   154   0.405832E+04   0.103643E+01   0.000000E+00  -0.435127E+02   0.862525E-07   0.119739E-03  -0.656118E-06
   155   0.408975E+04   0.103770E+01   0.000000E+00  -0.437935E+02   0.857464E-07   0.119071E-03  -0.656128E-06
   156   0.412112E+04   0.103860E+01   0.000000E+00  -0.440595E+02   0.852442E-07   0.118408E-03  -0.656069E-06
   157   0.415240E+04   0.103914E+01   0.000000E+00  -0.443106E+02   0.847461E-07   0.117750E-03  -0.655941E-06
   158   0.418361E+04   0.103931E+01   0.000000E+00  -0.445463E+02   0.842520E-07   0.117096E-03  -0.655742E-06
   159   0.421474E+04   0.103912E+01   0.000000E+00  -0.447663E+02   0.837619E-07   0.116447E-03  -0.655471E-06
   160   0.424579E+04   0.103855E+01   0.000000E+00  -0.449704E+02   0.832757E-07   0.115801E-03  -0.655126E-06
   161   0.427672E+04   0.103763E+01   0.000000E+00  -0.451582E+02   0.827934E-07   0.115159E-03  -0.654705E-06
   162   0.430754E+04   0.103633E+01   0.000000E+00  -0.453295E+02   0.823151E-07   0.114520E-03  -0.654206E-06
   163   0.433825E+04   0.103469E+01   0.000000E+00  -0.454839E+02   0.818406E-07   0.113885E-03  -0.653629E-06
   164   0.436883E+04   0.103268E+01   0.000000E+00  -0.456212E+02   0.813700E-07   0.113252E-03  -0.652971E-06
   165   0.439927E+04   0.103031E+01   0.000000E+00  -0.457411E+02   0.809031E-07   0.112621E-03  -0.652231E-06
   166   0.442956E+04   0.102759E+01   0.000000E+00  -0.458433E+02   0.804401E-07   0.111993E-03  -0.651408E-06
   167   0.445971E+04   0.102453E+01   0.000000E+00  -0.459277E+02   0.799809E-07   0.111366E-03  -0.650499E-06
   168   0.448971E+04   0.102113E+01   0.000000E+00  -0.459942E+02   0.795254E-07   0.110741E-03  -0.649504E-06
   169   0.451955E+04   0.101740E+01   0.000000E+00  -0.460425E+02   0.790737E-07   0.110118E-03  -0.648420E-06
   170   0.454923E+04   0.101335E+01   0.000000E+00  -0.460726E+02   0.786257E-07   0.109495E-03  -0.647246E-06
   171   0.457874E+04   0.100897E+01   0.000000E+00  -0.460842E+02   0.781813E-07   0.108873E-03  -0.645980E-06
   172   0.460808E+04   0.100429E+01   0.000000E+00  -0.460772E+02   0.777406E-07   0.108251E-03  -0.644622E-06
   173   0.463724E+04   0.999314E+00   0.000000E+00  -0.460515E+02   0.773035E-07   0.107629E-03  -0.643168E-06
   174   0.466622E+04   0.994041E+00   0.000000E+00  -0.460069E+02   0.768701E-07   0.107008E-03  -0.641618E-06
   175   0.469501E+04   0.988498E+00   0.000000E+00  -0.459436E+02   0.764402E-07   0.106385E-03  -0.639971E-06
