#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   143   0.416416E+04  -0.339168E+02   0.667262E-03  -0.339168E+02   0.809578E+00  -0.356918E-06   0.667262E-03  -0.356918E-06   0.344440E-07
   144   0.419109E+04  -0.333728E+02   0.660114E-03  -0.333728E+02   0.798926E+00  -0.342392E-06   0.660114E-03  -0.342392E-06   0.342520E-07
   145   0.421762E+04  -0.327950E+02   0.653063E-03  -0.327950E+02   0.788276E+00  -0.328096E-06   0.653063E-03  -0.328096E-06   0.340614E-07
   146   0.424373E+04  -0.321836E+02   0.646108E-03  -0.321836E+02   0.777680E+00  -0.314054E-06   0.646108E-03  -0.314054E-06   0.338722E-07
   147   0.426940E+04  -0.315383E+02   0.639245E-03  -0.315383E+02   0.767181E+00  -0.300288E-06   0.639245E-03  -0.300288E-06   0.336844E-07
   148   0.429462E+04  -0.308590E+02   0.632473E-03  -0.308590E+02   0.756815E+00  -0.286822E-06   0.632473E-03  -0.286822E-06   0.334981E-07
   149   0.431936E+04  -0.301458E+02   0.625791E-03  -0.301458E+02   0.746625E+00  -0.273679E-06   0.625791E-03  -0.273679E-06   0.333131E-07
   150   0.434361E+04  -0.293983E+02   0.619196E-03  -0.293983E+02   0.736654E+00  -0.260881E-06   0.619196E-03  -0.260881E-06   0.331296E-07
   151   0.436735E+04  -0.286168E+02   0.612686E-03  -0.286168E+02   0.726946E+00  -0.248445E-06   0.612686E-03  -0.248445E-06   0.329474E-07
   152   0.439057E+04  -0.278014E+02   0.606261E-03  -0.278014E+02   0.717545E+00  -0.236355E-06   0.606261E-03  -0.236355E-06   0.327666E-07
   153   0.441328E+04  -0.269525E+02   0.599920E-03  -0.269525E+02   0.708504E+00  -0.224591E-06   0.599920E-03  -0.224591E-06   0.325872E-07
   154   0.443547E+04  -0.260705E+02   0.593660E-03  -0.260705E+02   0.699876E+00  -0.213131E-06   0.593660E-03  -0.213131E-06   0.324091E-07
   155   0.445712E+04  -0.251556E+02   0.587482E-03  -0.251556E+02   0.691697E+00  -0.201953E-06   0.587482E-03  -0.201953E-06   0.322325E-07
   156   0.447826E+04  -0.242083E+02   0.581385E-03  -0.242083E+02   0.684029E+00  -0.191035E-06   0.581385E-03  -0.191035E-06   0.320571E-07
   157   0.449886E+04  -0.232289E+02   0.575366E-03  -0.232289E+02   0.676908E+00  -0.180357E-06   0.575366E-03  -0.180357E-06   0.318831E-07
   158   0.451893E+04  -0.222178E+02   0.569426E-03  -0.222178E+02   0.670401E+00  -0.169896E-06   0.569426E-03  -0.169896E-06   0.317105E-07
   159   0.453845E+04  -0.211752E+02   0.563562E-03  -0.211752E+02   0.664547E+00  -0.159631E-06   0.563562E-03  -0.159631E-06   0.315392E-07
   160   0.455742E+04  -0.201018E+02   0.557775E-03  -0.201018E+02   0.659406E+00  -0.149541E-06   0.557775E-03  -0.149541E-06   0.313692E-07
   161   0.457582E+04  -0.189977E+02   0.552063E-03  -0.189977E+02   0.655029E+00  -0.139604E-06   0.552063E-03  -0.139604E-06   0.312005E-07
   162   0.459364E+04  -0.178636E+02   0.546425E-03  -0.178636E+02   0.651469E+00  -0.129797E-06   0.546425E-03  -0.129797E-06   0.310331E-07
   163   0.461087E+04  -0.166996E+02   0.540860E-03  -0.166996E+02   0.648793E+00  -0.120101E-06   0.540860E-03  -0.120101E-06   0.308670E-07
   164   0.462749E+04  -0.155063E+02   0.535367E-03  -0.155063E+02   0.647040E+00  -0.110493E-06   0.535367E-03  -0.110493E-06   0.307022E-07
   165   0.464350E+04  -0.142840E+02   0.529945E-03  -0.142840E+02   0.646268E+00  -0.100951E-06   0.529945E-03  -0.100951E-06   0.305388E-07
   166   0.465889E+04  -0.130333E+02   0.524592E-03  -0.130333E+02   0.646538E+00  -0.914538E-07   0.524592E-03  -0.914538E-07   0.303765E-07
   167   0.467366E+04  -0.117546E+02   0.519309E-03  -0.117546E+02   0.647910E+00  -0.819804E-07   0.519309E-03  -0.819804E-07   0.302156E-07
   168   0.468779E+04  -0.104486E+02   0.514093E-03  -0.104486E+02   0.650443E+00  -0.725089E-07   0.514093E-03  -0.725089E-07   0.300559E-07
   169   0.470128E+04  -0.911572E+01   0.508944E-03  -0.911572E+01   0.654198E+00  -0.630176E-07   0.508944E-03  -0.630176E-07   0.298974E-07
   170   0.471412E+04  -0.775647E+01   0.503860E-03  -0.775647E+01   0.659226E+00  -0.534850E-07   0.503860E-03  -0.534850E-07   0.297403E-07
   171   0.472630E+04  -0.637139E+01   0.498841E-03  -0.637139E+01   0.665596E+00  -0.438895E-07   0.498841E-03  -0.438895E-07   0.295843E-07
   172   0.473783E+04  -0.496108E+01   0.493886E-03  -0.496108E+01   0.673367E+00  -0.342097E-07   0.493886E-03  -0.342097E-07   0.294296E-07
   173   0.474868E+04  -0.352606E+01   0.488994E-03  -0.352606E+01   0.682599E+00  -0.244238E-07   0.488994E-03  -0.244238E-07   0.292761E-07
   174   0.475886E+04  -0.206694E+01   0.484162E-03  -0.206694E+01   0.693351E+00  -0.145103E-07   0.484162E-03  -0.145103E-07   0.291238E-07
   175   0.476835E+04  -0.584449E+00   0.479392E-03  -0.584449E+00   0.705699E+00  -0.444775E-08   0.479392E-03  -0.444775E-08   0.289727E-07
   176   0.477715E+04   0.920828E+00   0.474681E-03   0.920828E+00   0.719694E+00   0.578222E-08   0.474681E-03   0.578222E-08   0.288229E-07
   177   0.478526E+04   0.244804E+01   0.470028E-03   0.244804E+01   0.735410E+00   0.161844E-07   0.470028E-03   0.161844E-07   0.286742E-07
   178   0.479265E+04   0.399619E+01   0.465433E-03   0.399619E+01   0.752903E+00   0.267605E-07   0.465433E-03   0.267605E-07   0.285267E-07
   179   0.479935E+04   0.556439E+01   0.460896E-03   0.556439E+01   0.772230E+00   0.375118E-07   0.460896E-03   0.375118E-07   0.283804E-07
