#    L    TT             EE             BB             TE             PP             TP             EP          
   135   0.457232E+04   0.104308E+01   0.000000E+00  -0.464754E+02   0.321844E-07   0.661831E-03  -0.636400E-06
   136   0.460812E+04   0.103517E+01   0.000000E+00  -0.463907E+02   0.319776E-07   0.654282E-03  -0.634943E-06
   137   0.464363E+04   0.102675E+01   0.000000E+00  -0.462735E+02   0.317726E-07   0.646846E-03  -0.633065E-06
   138   0.467882E+04   0.101786E+01   0.000000E+00  -0.461236E+02   0.315692E-07   0.639521E-03  -0.630762E-06
   139   0.471367E+04   0.100851E+01   0.000000E+00  -0.459405E+02   0.313676E-07   0.632305E-03  -0.628030E-06
   140   0.474817E+04   0.998718E+00   0.000000E+00  -0.457241E+02   0.311677E-07   0.625195E-03  -0.624864E-06
   141   0.478231E+04   0.988530E+00   0.000000E+00  -0.454742E+02   0.309695E-07   0.618191E-03  -0.621259E-06
   142   0.481607E+04   0.977949E+00   0.000000E+00  -0.451903E+02   0.307730E-07   0.611290E-03  -0.617212E-06
   143   0.484943E+04   0.967007E+00   0.000000E+00  -0.448722E+02   0.305781E-07   0.604490E-03  -0.612718E-06
   144   0.488237E+04   0.955731E+00   0.000000E+00  -0.445198E+02   0.303850E-07   0.597789E-03  -0.607774E-06
   145   0.491488E+04   0.944139E+00   0.000000E+00  -0.441326E+02   0.301935E-07   0.591185E-03  -0.602373E-06
   146   0.494692E+04   0.932266E+00   0.000000E+00  -0.437105E+02   0.300036E-07   0.584676E-03  -0.596513E-06
   147   0.497848E+04   0.920142E+00   0.000000E+00  -0.432531E+02   0.298154E-07   0.578260E-03  -0.590189E-06
   148   0.500954E+04   0.907791E+00   0.000000E+00  -0.427603E+02   0.296289E-07   0.571935E-03  -0.583397E-06
   149   0.504008E+04   0.895241E+00   0.000000E+00  -0.422317E+02   0.294439E-07   0.565700E-03  -0.576132E-06
   150   0.507007E+04   0.882523E+00   0.000000E+00  -0.416671E+02   0.292606E-07   0.559551E-03  -0.568390E-06
   151   0.509948E+04   0.869666E+00   0.000000E+00  -0.410663E+02   0.290789E-07   0.553489E-03  -0.560170E-06
