#    L    TT             EE             BB             TE          
   172   0.473620E+04   0.682334E+00   0.585826E-02  -0.491462E+01
   173   0.474700E+04   0.691760E+00   0.593272E-02  -0.348102E+01
   174   0.475712E+04   0.702707E+00   0.600754E-02  -0.202339E+01
   175   0.476656E+04   0.715250E+00   0.608270E-02  -0.542495E+00
   176   0.477531E+04   0.729441E+00   0.615820E-02   0.961092E+00
   177   0.478336E+04   0.745353E+00   0.623401E-02   0.248652E+01
   178   0.479071E+04   0.763043E+00   0.631012E-02   0.403279E+01
   179   0.479736E+04   0.782567E+00   0.638652E-02   0.559901E+01
   180   0.480331E+04   0.803998E+00   0.646320E-02   0.718412E+01
   181   0.480855E+04   0.827400E+00   0.654014E-02   0.878705E+01
   182   0.481309E+04   0.852837E+00   0.661733E-02   0.104068E+02
   183   0.481692E+04   0.880367E+00   0.669475E-02   0.120424E+02
   184   0.482003E+04   0.910062E+00   0.677239E-02   0.136926E+02
   185   0.482244E+04   0.941993E+00   0.685024E-02   0.153567E+02
   186   0.482412E+04   0.976218E+00   0.692829E-02   0.170333E+02
   187   0.482510E+04   0.101280E+01   0.700651E-02   0.187214E+02
   188   0.482536E+04   0.105182E+01   0.708490E-02   0.204199E+02
   189   0.482489E+04   0.109334E+01   0.716345E-02   0.221277E+02
   190   0.482371E+04   0.113742E+01   0.724214E-02   0.238437E+02
   191   0.482181E+04   0.118414E+01   0.732095E-02   0.255664E+02
   192   0.481918E+04   0.123357E+01   0.739989E-02   0.272951E+02
   193   0.481582E+04   0.128577E+01   0.747893E-02   0.290286E+02
   194   0.481174E+04   0.134081E+01   0.755807E-02   0.307653E+02
   195   0.480694E+04   0.139876E+01   0.763729E-02   0.325043E+02
   196   0.480141E+04   0.145970E+01   0.771658E-02   0.342441E+02
   197   0.479517E+04   0.152370E+01   0.779594E-02   0.359836E+02
   198   0.478822E+04   0.159082E+01   0.787535E-02   0.377215E+02
   199   0.478054E+04   0.166114E+01   0.795480E-02   0.394566E+02
   200   0.477216E+04   0.173473E+01   0.803428E-02   0.411874E+02
   201   0.476306E+04   0.181164E+01   0.811378E-02   0.429129E+02
   202   0.475326E+04   0.189188E+01   0.819330E-02   0.446322E+02
   203   0.474273E+04   0.197542E+01   0.827281E-02   0.463446E+02
   204   0.473150E+04   0.206225E+01   0.835233E-02   0.480494E+02
   205   0.471955E+04   0.215235E+01   0.843183E-02   0.497458E+02
   206   0.470690E+04   0.224571E+01   0.851130E-02   0.514331E+02
   207   0.469355E+04   0.234231E+01   0.859075E-02   0.531106E+02
