#           k/h    P           
   0.170716E-01   0.238473E+05
   0.174164E-01   0.238212E+05
   0.177683E-01   0.237848E+05
   0.181272E-01   0.237377E+05
   0.184934E-01   0.236798E+05
   0.188670E-01   0.236110E+05
   0.192481E-01   0.235312E+05
   0.196370E-01   0.234402E+05
   0.200337E-01   0.233379E+05
   0.204384E-01   0.232244E+05
   0.208513E-01   0.230996E+05
   0.212725E-01   0.229635E+05
   0.217022E-01   0.228161E+05
   0.221406E-01   0.226574E+05
   0.225879E-01   0.224876E+05
   0.230442E-01   0.223068E+05
   0.235097E-01   0.221151E+05
   0.239847E-01   0.219128E+05
   0.244692E-01   0.216999E+05
   0.249635E-01   0.214769E+05
   0.254678E-01   0.212441E+05
   0.259823E-01   0.210018E+05
   0.265072E-01   0.207504E+05
   0.270426E-01   0.204903E+05
   0.275889E-01   0.202220E+05
   0.281463E-01   0.199461E+05
   0.287149E-01   0.196631E+05
   0.292949E-01   0.193736E+05
   0.298867E-01   0.190782E+05
   0.304905E-01   0.187777E+05
   0.311064E-01   0.184728E+05
   0.317348E-01   0.181642E+05
   0.323759E-01   0.178526E+05
   0.330299E-01   0.175389E+05
   0.336972E-01   0.172239E+05
   0.343779E-01   0.169085E+05
   0.350724E-01   0.165934E+05
   0.357809E-01   0.162794E+05
   0.365038E-01   0.159674E+05
   0.372412E-01   0.156583E+05
   0.379935E-01   0.153532E+05
   0.387610E-01   0.150528E+05
   0.395440E-01   0.147580E+05
   0.403429E-01   0.144694E+05
   0.411579E-01   0.141874E+05
   0.419893E-01   0.139125E+05
   0.428375E-01   0.136450E+05
   0.437029E-01   0.133852E+05
   0.445858E-01   0.131338E+05
   0.454865E-01   0.128915E+05
   0.464053E-01   0.126593E+05
   0.473428E-01   0.124378E+05
   0.482992E-01   0.122278E+05
   0.492749E-01   0.120288E+05
   0.502703E-01   0.118398E+05
   0.512858E-01   0.116600E+05
   0.523219E-01   0.114886E+05
   0.533789E-01   0.113246E+05
   0.544572E-01   0.111673E+05
   0.555573E-01   0.110159E+05
   0.566796E-01   0.108698E+05
   0.578246E-01   0.107281E+05
   0.589927E-01   0.105897E+05
   0.601845E-01   0.104538E+05
   0.614003E-01   0.103194E+05
   0.626407E-01   0.101853E+05
   0.639061E-01   0.100499E+05
   0.651971E-01   0.991209E+04
   0.665142E-01   0.977031E+04
   0.678578E-01   0.962283E+04
   0.692287E-01   0.946791E+04
   0.706272E-01   0.930407E+04
   0.720539E-01   0.913040E+04
   0.735095E-01   0.894623E+04
   0.749945E-01   0.875118E+04
   0.765095E-01   0.854563E+04
   0.780551E-01   0.833026E+04
   0.796319E-01   0.810602E+04
   0.812406E-01   0.787471E+04
   0.828817E-01   0.763819E+04
   0.845561E-01   0.739849E+04
   0.862642E-01   0.715791E+04
   0.880068E-01   0.691858E+04
   0.897847E-01   0.668273E+04
   0.915985E-01   0.645249E+04
   0.934489E-01   0.622994E+04
   0.953367E-01   0.601729E+04
   0.972626E-01   0.581643E+04
   0.992274E-01   0.562905E+04
   0.101232E+00   0.545669E+04
   0.103277E+00   0.530056E+04
   0.105363E+00   0.516098E+04
   0.107492E+00   0.503778E+04
   0.109663E+00   0.493030E+04
   0.111879E+00   0.483658E+04
   0.114139E+00   0.475451E+04
   0.116445E+00   0.468124E+04
   0.118797E+00   0.461354E+04
   0.121197E+00   0.454820E+04
   0.123645E+00   0.448188E+04
   0.126143E+00   0.441151E+04
   0.128691E+00   0.433453E+04
   0.131291E+00   0.424883E+04
   0.133943E+00   0.415330E+04
   0.136649E+00   0.404748E+04
   0.139409E+00   0.393208E+04
   0.142226E+00   0.380840E+04
   0.145099E+00   0.367867E+04
   0.148030E+00   0.354546E+04
   0.151020E+00   0.341200E+04
   0.154071E+00   0.328168E+04
   0.157184E+00   0.315818E+04
   0.160359E+00   0.304481E+04
   0.163598E+00   0.294423E+04
   0.166903E+00   0.285716E+04
   0.170275E+00   0.278307E+04
   0.173715E+00   0.272052E+04
   0.177224E+00   0.266711E+04
   0.180804E+00   0.261973E+04
   0.184457E+00   0.257534E+04
   0.188183E+00   0.253075E+04
   0.191985E+00   0.248263E+04
   0.195863E+00   0.242817E+04
   0.199820E+00   0.236615E+04
   0.203856E+00   0.229703E+04
   0.207974E+00   0.222248E+04
   0.212176E+00   0.214521E+04
   0.216462E+00   0.206838E+04
   0.220835E+00   0.199507E+04
   0.225296E+00   0.192792E+04
   0.229847E+00   0.186867E+04
   0.234490E+00   0.181778E+04
   0.239227E+00   0.177440E+04
   0.244060E+00   0.173669E+04
   0.248990E+00   0.170208E+04
   0.254020E+00   0.166768E+04
   0.259152E+00   0.163086E+04
   0.264387E+00   0.159025E+04
   0.269728E+00   0.154629E+04
   0.275177E+00   0.149966E+04
   0.280736E+00   0.145282E+04
   0.286407E+00   0.140776E+04
   0.292193E+00   0.136615E+04
   0.298096E+00   0.132933E+04
   0.304118E+00   0.129729E+04
   0.310261E+00   0.126850E+04
   0.316529E+00   0.124120E+04
   0.322923E+00   0.121399E+04
   0.329447E+00   0.118543E+04
   0.336102E+00   0.115542E+04
   0.342892E+00   0.112464E+04
   0.349819E+00   0.109435E+04
   0.356885E+00   0.106575E+04
   0.364095E+00   0.103965E+04
   0.371450E+00   0.101575E+04
   0.378954E+00   0.993715E+03
   0.386609E+00   0.972427E+03
   0.394419E+00   0.950935E+03
   0.402387E+00   0.929129E+03
   0.410516E+00   0.907199E+03
   0.418809E+00   0.885901E+03
   0.427269E+00   0.865656E+03
   0.435901E+00   0.846818E+03
   0.444706E+00   0.829045E+03
   0.453690E+00   0.811892E+03
   0.462855E+00   0.794998E+03
   0.472206E+00   0.778074E+03
   0.481745E+00   0.761490E+03
   0.491477E+00   0.745542E+03
   0.501405E+00   0.730280E+03
   0.511534E+00   0.715690E+03
   0.521868E+00   0.701600E+03
   0.532411E+00   0.687762E+03
   0.543166E+00   0.674173E+03
   0.554139E+00   0.660883E+03
   0.565333E+00   0.648083E+03
   0.576753E+00   0.635723E+03
   0.588404E+00   0.623712E+03
   0.600291E+00   0.611993E+03
   0.612418E+00   0.600498E+03
   0.624789E+00   0.589304E+03
   0.637411E+00   0.578395E+03
   0.650288E+00   0.567775E+03
   0.663424E+00   0.557419E+03
   0.676826E+00   0.547303E+03
   0.690499E+00   0.537406E+03
   0.704448E+00   0.527716E+03
   0.718679E+00   0.518226E+03
   0.733197E+00   0.508928E+03
   0.748009E+00   0.499819E+03
   0.763119E+00   0.490887E+03
   0.778536E+00   0.482122E+03
   0.794263E+00   0.473514E+03
   0.810308E+00   0.465054E+03
   0.826677E+00   0.456734E+03
   0.843378E+00   0.448547E+03
   0.860415E+00   0.440487E+03
   0.877797E+00   0.432548E+03
   0.895529E+00   0.424725E+03
   0.913620E+00   0.417010E+03
   0.932076E+00   0.409398E+03
   0.950906E+00   0.401882E+03
   0.970115E+00   0.394460E+03
   0.989713E+00   0.387127E+03
   0.100971E+01   0.379880E+03
   0.103010E+01   0.372716E+03
   0.105091E+01   0.365631E+03
   0.107214E+01   0.358621E+03
   0.109380E+01   0.351684E+03
   0.111590E+01   0.344817E+03
   0.113844E+01   0.338019E+03
   0.116144E+01   0.331289E+03
   0.118490E+01   0.324626E+03
   0.120884E+01   0.318029E+03
   0.123326E+01   0.311497E+03
   0.125817E+01   0.305030E+03
   0.128359E+01   0.298625E+03
   0.130952E+01   0.292282E+03
   0.133597E+01   0.286002E+03
   0.136296E+01   0.279786E+03
   0.139049E+01   0.273635E+03
   0.141858E+01   0.267550E+03
   0.144724E+01   0.261530E+03
   0.147648E+01   0.255577E+03
   0.150630E+01   0.249690E+03
   0.153673E+01   0.243871E+03
   0.156778E+01   0.238120E+03
   0.159945E+01   0.232440E+03
   0.163176E+01   0.226832E+03
   0.166472E+01   0.221298E+03
   0.169835E+01   0.215837E+03
   0.173266E+01   0.210452E+03
   0.176766E+01   0.205142E+03
   0.180337E+01   0.199910E+03
   0.183980E+01   0.194755E+03
   0.187697E+01   0.189681E+03
   0.191489E+01   0.184687E+03
   0.195357E+01   0.179776E+03
