#    L    TT             EE             BB             TE          
   157   0.415445E+04   0.104373E+01   0.653751E-02  -0.441698E+02
   158   0.418558E+04   0.104400E+01   0.662645E-02  -0.444018E+02
   159   0.421663E+04   0.104390E+01   0.671622E-02  -0.446180E+02
   160   0.424759E+04   0.104344E+01   0.680682E-02  -0.448184E+02
   161   0.427843E+04   0.104261E+01   0.689825E-02  -0.450024E+02
   162   0.430917E+04   0.104143E+01   0.699052E-02  -0.451699E+02
   163   0.433978E+04   0.103990E+01   0.708363E-02  -0.453205E+02
   164   0.437026E+04   0.103800E+01   0.717760E-02  -0.454540E+02
   165   0.440060E+04   0.103575E+01   0.727241E-02  -0.455700E+02
   166   0.443080E+04   0.103316E+01   0.736809E-02  -0.456684E+02
   167   0.446084E+04   0.103022E+01   0.746462E-02  -0.457490E+02
   168   0.449073E+04   0.102696E+01   0.756201E-02  -0.458117E+02
   169   0.452047E+04   0.102336E+01   0.766027E-02  -0.458562E+02
   170   0.455003E+04   0.101945E+01   0.775940E-02  -0.458825E+02
   171   0.457942E+04   0.101522E+01   0.785940E-02  -0.458903E+02
   172   0.460865E+04   0.101069E+01   0.796027E-02  -0.458796E+02
   173   0.463769E+04   0.100587E+01   0.806200E-02  -0.458501E+02
   174   0.466655E+04   0.100076E+01   0.816462E-02  -0.458018E+02
   175   0.469521E+04   0.995379E+00   0.826810E-02  -0.457347E+02
   176   0.472368E+04   0.989735E+00   0.837246E-02  -0.456487E+02
   177   0.475195E+04   0.983839E+00   0.847769E-02  -0.455434E+02
   178   0.478000E+04   0.977690E+00   0.858380E-02  -0.454187E+02
   179   0.480783E+04   0.971287E+00   0.869077E-02  -0.452743E+02
   180   0.483543E+04   0.964644E+00   0.879862E-02  -0.451100E+02
   181   0.486280E+04   0.957766E+00   0.890734E-02  -0.449257E+02
   182   0.488993E+04   0.950661E+00   0.901693E-02  -0.447212E+02
   183   0.491682E+04   0.943327E+00   0.912739E-02  -0.444964E+02
   184   0.494345E+04   0.935777E+00   0.923871E-02  -0.442511E+02
   185   0.496982E+04   0.928026E+00   0.935090E-02  -0.439850E+02
   186   0.499593E+04   0.920072E+00   0.946395E-02  -0.436983E+02
   187   0.502176E+04   0.911922E+00   0.957787E-02  -0.433906E+02
   188   0.504731E+04   0.903593E+00   0.969264E-02  -0.430621E+02
   189   0.507257E+04   0.895093E+00   0.980828E-02  -0.427125E+02
   190   0.509755E+04   0.886432E+00   0.992477E-02  -0.423418E+02
   191   0.512222E+04   0.877618E+00   0.100421E-01  -0.419502E+02
   192   0.514659E+04   0.868664E+00   0.101603E-01  -0.415373E+02
   193   0.517063E+04   0.859579E+00   0.102794E-01  -0.411032E+02
   194   0.519437E+04   0.850376E+00   0.103993E-01  -0.406480E+02
   195   0.521779E+04   0.841066E+00   0.105200E-01  -0.401717E+02
   196   0.524088E+04   0.831662E+00   0.106416E-01  -0.396744E+02
   197   0.526365E+04   0.822177E+00   0.107640E-01  -0.391562E+02
   198   0.528610E+04   0.812623E+00   0.108873E-01  -0.386171E+02
   199   0.530820E+04   0.803013E+00   0.110115E-01  -0.380571E+02
   200   0.532998E+04   0.793359E+00   0.111364E-01  -0.374765E+02
   201   0.535142E+04   0.783678E+00   0.112622E-01  -0.368751E+02
   202   0.537251E+04   0.773993E+00   0.113889E-01  -0.362533E+02
   203   0.539321E+04   0.764333E+00   0.115163E-01  -0.356108E+02
   204   0.541355E+04   0.754724E+00   0.116447E-01  -0.349476E+02
   205   0.543347E+04   0.745196E+00   0.117738E-01  -0.342639E+02
   206   0.545298E+04   0.735774E+00   0.119038E-01  -0.335596E+02
   207   0.547207E+04   0.726486E+00   0.120346E-01  -0.328347E+02
   208   0.549073E+04   0.717361E+00   0.121662E-01  -0.320894E+02
   209   0.550897E+04   0.708425E+00   0.122987E-01  -0.313237E+02
   210   0.552678E+04   0.699706E+00   0.124320E-01  -0.305379E+02
   211   0.554417E+04   0.691232E+00   0.125661E-01  -0.297321E+02
   212   0.556114E+04   0.683029E+00   0.127010E-01  -0.289063E+02
   213   0.557769E+04   0.675125E+00   0.128368E-01  -0.280609E+02
