#    L    TT             EE             BB             TE          
   220   0.497443E+04   0.275291E+01   0.763885E-02   0.679622E+02
   221   0.495150E+04   0.285830E+01   0.770351E-02   0.696319E+02
   222   0.492796E+04   0.296633E+01   0.776809E-02   0.712845E+02
   223   0.490383E+04   0.307699E+01   0.783257E-02   0.729189E+02
   224   0.487912E+04   0.319026E+01   0.789695E-02   0.745343E+02
   225   0.485385E+04   0.330614E+01   0.796123E-02   0.761295E+02
   226   0.482802E+04   0.342463E+01   0.802538E-02   0.777036E+02
   227   0.480166E+04   0.354571E+01   0.808941E-02   0.792555E+02
   228   0.477476E+04   0.366937E+01   0.815329E-02   0.807843E+02
   229   0.474735E+04   0.379561E+01   0.821704E-02   0.822888E+02
   230   0.471943E+04   0.392441E+01   0.828062E-02   0.837680E+02
   231   0.469103E+04   0.405576E+01   0.834404E-02   0.852210E+02
   232   0.466215E+04   0.418965E+01   0.840729E-02   0.866466E+02
   233   0.463281E+04   0.432606E+01   0.847036E-02   0.880438E+02
   234   0.460300E+04   0.446498E+01   0.853323E-02   0.894115E+02
   235   0.457277E+04   0.460640E+01   0.859589E-02   0.907487E+02
   236   0.454211E+04   0.475032E+01   0.865835E-02   0.920542E+02
   237   0.451104E+04   0.489669E+01   0.872059E-02   0.933271E+02
   238   0.447958E+04   0.504551E+01   0.878259E-02   0.945662E+02
   239   0.444773E+04   0.519675E+01   0.884435E-02   0.957705E+02
   240   0.441552E+04   0.535041E+01   0.890587E-02   0.969387E+02
   241   0.438295E+04   0.550647E+01   0.896713E-02   0.980700E+02
   242   0.435005E+04   0.566489E+01   0.902813E-02   0.991631E+02
   243   0.431683E+04   0.582567E+01   0.908885E-02   0.100217E+03
   244   0.428329E+04   0.598878E+01   0.914928E-02   0.101231E+03
   245   0.424948E+04   0.615419E+01   0.920943E-02   0.102203E+03
   246   0.421539E+04   0.632188E+01   0.926929E-02   0.103133E+03
   247   0.418105E+04   0.649182E+01   0.932884E-02   0.104019E+03
   248   0.414648E+04   0.666400E+01   0.938808E-02   0.104861E+03
   249   0.411168E+04   0.683838E+01   0.944701E-02   0.105657E+03
   250   0.407668E+04   0.701494E+01   0.950561E-02   0.106406E+03
   251   0.404148E+04   0.719362E+01   0.956389E-02   0.107108E+03
   252   0.400610E+04   0.737437E+01   0.962184E-02   0.107762E+03
   253   0.397055E+04   0.755710E+01   0.967945E-02   0.108367E+03
   254   0.393483E+04   0.774174E+01   0.973673E-02   0.108925E+03
   255   0.389894E+04   0.792819E+01   0.979366E-02   0.109435E+03
   256   0.386290E+04   0.811639E+01   0.985026E-02   0.109897E+03
   257   0.382673E+04   0.830624E+01   0.990651E-02   0.110311E+03
   258   0.379044E+04   0.849766E+01   0.996241E-02   0.110677E+03
   259   0.375404E+04   0.869058E+01   0.100180E-01   0.110996E+03
   260   0.371757E+04   0.888489E+01   0.100732E-01   0.111267E+03
   261   0.368102E+04   0.908051E+01   0.101280E-01   0.111491E+03
   262   0.364442E+04   0.927736E+01   0.101826E-01   0.111668E+03
   263   0.360780E+04   0.947536E+01   0.102367E-01   0.111798E+03
   264   0.357115E+04   0.967440E+01   0.102906E-01   0.111881E+03
   265   0.353448E+04   0.987438E+01   0.103441E-01   0.111918E+03
