#           k/h    P           
   0.317348E-01   0.117112E+03
   0.323759E-01   0.112184E+03
   0.330299E-01   0.107526E+03
   0.336972E-01   0.103124E+03
   0.343779E-01   0.989636E+02
   0.350724E-01   0.950319E+02
   0.357809E-01   0.913178E+02
   0.365038E-01   0.878105E+02
   0.372412E-01   0.844997E+02
   0.379935E-01   0.813763E+02
   0.387610E-01   0.784336E+02
   0.395440E-01   0.756654E+02
   0.403429E-01   0.730656E+02
   0.411579E-01   0.706281E+02
   0.419893E-01   0.683456E+02
   0.428375E-01   0.662062E+02
   0.437029E-01   0.641987E+02
   0.445858E-01   0.623124E+02
   0.454865E-01   0.605378E+02
   0.464053E-01   0.588687E+02
   0.473428E-01   0.573025E+02
   0.482992E-01   0.558372E+02
   0.492749E-01   0.544707E+02
   0.502703E-01   0.531994E+02
   0.512858E-01   0.520134E+02
   0.523219E-01   0.509019E+02
   0.533789E-01   0.498550E+02
   0.544572E-01   0.488636E+02
   0.555573E-01   0.479191E+02
   0.566796E-01   0.470131E+02
   0.578246E-01   0.461382E+02
   0.589927E-01   0.452856E+02
   0.601845E-01   0.444448E+02
   0.614003E-01   0.436056E+02
   0.626407E-01   0.427591E+02
   0.639061E-01   0.418981E+02
   0.651971E-01   0.410168E+02
   0.665142E-01   0.401100E+02
   0.678578E-01   0.391736E+02
   0.692287E-01   0.382043E+02
   0.706272E-01   0.371996E+02
   0.720539E-01   0.361600E+02
   0.735095E-01   0.350880E+02
   0.749945E-01   0.339867E+02
   0.765095E-01   0.328605E+02
   0.780551E-01   0.317147E+02
   0.796319E-01   0.305554E+02
   0.812406E-01   0.293915E+02
   0.828817E-01   0.282323E+02
   0.845561E-01   0.270881E+02
   0.862642E-01   0.259704E+02
   0.880068E-01   0.248899E+02
   0.897847E-01   0.238578E+02
   0.915985E-01   0.228838E+02
   0.934489E-01   0.219757E+02
   0.953367E-01   0.211393E+02
   0.972626E-01   0.203790E+02
   0.992274E-01   0.196962E+02
   0.101232E+00   0.190891E+02
   0.103277E+00   0.185554E+02
   0.105363E+00   0.180881E+02
   0.107492E+00   0.176790E+02
   0.109663E+00   0.173182E+02
   0.111879E+00   0.169932E+02
   0.114139E+00   0.166911E+02
   0.116445E+00   0.163975E+02
   0.118797E+00   0.160978E+02
   0.121197E+00   0.157784E+02
   0.123645E+00   0.154266E+02
   0.126143E+00   0.150337E+02
   0.128691E+00   0.145943E+02
   0.131291E+00   0.141085E+02
   0.133943E+00   0.135803E+02
   0.136649E+00   0.130194E+02
   0.139409E+00   0.124388E+02
   0.142226E+00   0.118543E+02
   0.145099E+00   0.112823E+02
   0.148030E+00   0.107385E+02
   0.151020E+00   0.102362E+02
   0.154071E+00   0.978512E+01
   0.157184E+00   0.939054E+01
   0.160359E+00   0.905328E+01
   0.163598E+00   0.876937E+01
   0.166903E+00   0.853156E+01
   0.170275E+00   0.832916E+01
   0.173715E+00   0.814912E+01
   0.177224E+00   0.797691E+01
   0.180804E+00   0.779745E+01
   0.184457E+00   0.759719E+01
   0.188183E+00   0.736675E+01
   0.191985E+00   0.710330E+01
   0.195863E+00   0.681159E+01
   0.199820E+00   0.650238E+01
   0.203856E+00   0.618952E+01
   0.207974E+00   0.588678E+01
   0.212176E+00   0.560590E+01
   0.216462E+00   0.535556E+01
   0.220835E+00   0.514065E+01
   0.225296E+00   0.496100E+01
   0.229847E+00   0.481064E+01
   0.234490E+00   0.467874E+01
   0.239227E+00   0.455239E+01
   0.244060E+00   0.442045E+01
   0.248990E+00   0.427582E+01
   0.254020E+00   0.411595E+01
   0.259152E+00   0.394290E+01
   0.264387E+00   0.376320E+01
   0.269728E+00   0.358635E+01
