#           k/h    P           
   0.153673E+01   0.172363E+02
   0.156778E+01   0.164328E+02
   0.159945E+01   0.156655E+02
   0.163176E+01   0.149327E+02
   0.166472E+01   0.142332E+02
   0.169835E+01   0.135655E+02
   0.173266E+01   0.129282E+02
   0.176766E+01   0.123202E+02
   0.180337E+01   0.117402E+02
   0.183980E+01   0.111869E+02
   0.187697E+01   0.106594E+02
   0.191489E+01   0.101563E+02
   0.195357E+01   0.967672E+01
   0.199304E+01   0.921958E+01
   0.203330E+01   0.878390E+01
   0.207437E+01   0.836873E+01
