#           k/h    P           
   0.195863E+00   0.304882E+04
   0.199820E+00   0.296409E+04
   0.203856E+00   0.287055E+04
   0.207974E+00   0.276833E+04
   0.212176E+00   0.265964E+04
   0.216462E+00   0.254815E+04
   0.220835E+00   0.243790E+04
   0.225296E+00   0.233269E+04
   0.229847E+00   0.223562E+04
   0.234490E+00   0.214880E+04
   0.239227E+00   0.207281E+04
   0.244060E+00   0.200655E+04
   0.248990E+00   0.194759E+04
   0.254020E+00   0.189279E+04
   0.259152E+00   0.183876E+04
   0.264387E+00   0.178244E+04
   0.269728E+00   0.172188E+04
   0.275177E+00   0.165711E+04
   0.280736E+00   0.158995E+04
   0.286407E+00   0.152297E+04
   0.292193E+00   0.145859E+04
   0.298096E+00   0.139879E+04
   0.304118E+00   0.134487E+04
   0.310261E+00   0.129686E+04
   0.316529E+00   0.125327E+04
   0.322923E+00   0.121187E+04
   0.329447E+00   0.117068E+04
   0.336102E+00   0.112852E+04
   0.342892E+00   0.108505E+04
   0.349819E+00   0.104096E+04
   0.356885E+00   0.997734E+03
   0.364095E+00   0.956897E+03
   0.371450E+00   0.919186E+03
   0.378954E+00   0.884441E+03
   0.386609E+00   0.851947E+03
   0.394419E+00   0.820688E+03
   0.402387E+00   0.789698E+03
   0.410516E+00   0.758595E+03
   0.418809E+00   0.727779E+03
   0.427269E+00   0.697961E+03
   0.435901E+00   0.669660E+03
   0.444706E+00   0.643093E+03
   0.453690E+00   0.618064E+03
   0.462855E+00   0.593988E+03
   0.472206E+00   0.570476E+03
   0.481745E+00   0.547437E+03
   0.491477E+00   0.524974E+03
   0.501405E+00   0.503439E+03
   0.511534E+00   0.482979E+03
   0.521868E+00   0.463480E+03
   0.532411E+00   0.444775E+03
   0.543166E+00   0.426651E+03
   0.554139E+00   0.409035E+03
   0.565333E+00   0.392049E+03
   0.576753E+00   0.375889E+03
   0.588404E+00   0.360404E+03
   0.600291E+00   0.345488E+03
   0.612418E+00   0.331124E+03
   0.624789E+00   0.317308E+03
   0.637411E+00   0.304032E+03
   0.650288E+00   0.291279E+03
   0.663424E+00   0.279033E+03
   0.676826E+00   0.267277E+03
   0.690499E+00   0.255991E+03
   0.704448E+00   0.245155E+03
   0.718679E+00   0.234754E+03
   0.733197E+00   0.224769E+03
   0.748009E+00   0.215187E+03
   0.763119E+00   0.205992E+03
   0.778536E+00   0.197169E+03
   0.794263E+00   0.188705E+03
   0.810308E+00   0.180586E+03
   0.826677E+00   0.172799E+03
   0.843378E+00   0.165332E+03
   0.860415E+00   0.158171E+03
   0.877797E+00   0.151306E+03
   0.895529E+00   0.144725E+03
   0.913620E+00   0.138417E+03
   0.932076E+00   0.132372E+03
   0.950906E+00   0.126579E+03
   0.970115E+00   0.121028E+03
   0.989713E+00   0.115710E+03
   0.100971E+01   0.110616E+03
   0.103010E+01   0.105737E+03
   0.105091E+01   0.101065E+03
   0.107214E+01   0.965904E+02
   0.109380E+01   0.923063E+02
   0.111590E+01   0.882048E+02
   0.113844E+01   0.842787E+02
   0.116144E+01   0.805208E+02
   0.118490E+01   0.769244E+02
   0.120884E+01   0.734829E+02
   0.123326E+01   0.701899E+02
   0.125817E+01   0.670392E+02
   0.128359E+01   0.640250E+02
   0.130952E+01   0.611414E+02
   0.133597E+01   0.583830E+02
   0.136296E+01   0.557445E+02
   0.139049E+01   0.532208E+02
   0.141858E+01   0.508073E+02
   0.144724E+01   0.484990E+02
   0.147648E+01   0.462918E+02
   0.150630E+01   0.441812E+02
   0.153673E+01   0.421632E+02
   0.156778E+01   0.402338E+02
   0.159945E+01   0.383893E+02
   0.163176E+01   0.366262E+02
   0.166472E+01   0.349412E+02
   0.169835E+01   0.333312E+02
   0.173266E+01   0.317931E+02
   0.176766E+01   0.303242E+02
   0.180337E+01   0.289215E+02
   0.183980E+01   0.275823E+02
   0.187697E+01   0.263040E+02
   0.191489E+01   0.250840E+02
   0.195357E+01   0.239199E+02
   0.199304E+01   0.228093E+02
   0.203330E+01   0.217499E+02
   0.207437E+01   0.207395E+02
