#           k/h    P           
   0.386609E+00   0.442876E+03
   0.394419E+00   0.423717E+03
   0.402387E+00   0.405504E+03
   0.410516E+00   0.388613E+03
   0.418809E+00   0.373018E+03
   0.427269E+00   0.358266E+03
   0.435901E+00   0.343896E+03
   0.444706E+00   0.329662E+03
   0.453690E+00   0.315623E+03
   0.462855E+00   0.302084E+03
   0.472206E+00   0.289283E+03
   0.481745E+00   0.277231E+03
   0.491477E+00   0.265787E+03
   0.501405E+00   0.254714E+03
   0.511534E+00   0.243915E+03
   0.521868E+00   0.233454E+03
   0.532411E+00   0.223431E+03
   0.543166E+00   0.213916E+03
   0.554139E+00   0.204837E+03
   0.565333E+00   0.196124E+03
   0.576753E+00   0.187691E+03
   0.588404E+00   0.179572E+03
   0.600291E+00   0.171800E+03
   0.612418E+00   0.164375E+03
   0.624789E+00   0.157268E+03
   0.637411E+00   0.150454E+03
   0.650288E+00   0.143916E+03
   0.663424E+00   0.137645E+03
   0.676826E+00   0.131631E+03
   0.690499E+00   0.125865E+03
   0.704448E+00   0.120337E+03
   0.718679E+00   0.115039E+03
   0.733197E+00   0.109962E+03
   0.748009E+00   0.105098E+03
   0.763119E+00   0.100439E+03
   0.778536E+00   0.959770E+02
   0.794263E+00   0.917042E+02
   0.810308E+00   0.876135E+02
   0.826677E+00   0.836977E+02
   0.843378E+00   0.799501E+02
   0.860415E+00   0.763639E+02
   0.877797E+00   0.729326E+02
   0.895529E+00   0.696499E+02
   0.913620E+00   0.665096E+02
   0.932076E+00   0.635059E+02
   0.950906E+00   0.606329E+02
   0.970115E+00   0.578854E+02
   0.989713E+00   0.552580E+02
   0.100971E+01   0.527457E+02
   0.103010E+01   0.503437E+02
   0.105091E+01   0.480474E+02
   0.107214E+01   0.458523E+02
   0.109380E+01   0.437542E+02
   0.111590E+01   0.417489E+02
   0.113844E+01   0.398324E+02
   0.116144E+01   0.380011E+02
   0.118490E+01   0.362512E+02
   0.120884E+01   0.345793E+02
   0.123326E+01   0.329820E+02
   0.125817E+01   0.314561E+02
   0.128359E+01   0.299984E+02
   0.130952E+01   0.286061E+02
   0.133597E+01   0.272762E+02
   0.136296E+01   0.260062E+02
   0.139049E+01   0.247933E+02
   0.141858E+01   0.236350E+02
   0.144724E+01   0.225291E+02
   0.147648E+01   0.214732E+02
   0.150630E+01   0.204651E+02
   0.153673E+01   0.195027E+02
   0.156778E+01   0.185841E+02
   0.159945E+01   0.177073E+02
   0.163176E+01   0.168707E+02
   0.166472E+01   0.160724E+02
   0.169835E+01   0.153110E+02
   0.173266E+01   0.145847E+02
   0.176766E+01   0.138922E+02
   0.180337E+01   0.132319E+02
   0.183980E+01   0.126025E+02
   0.187697E+01   0.120026E+02
   0.191489E+01   0.114309E+02
   0.195357E+01   0.108862E+02
   0.199304E+01   0.103672E+02
   0.203330E+01   0.987282E+01
   0.207437E+01   0.940192E+01
